Generation,Time,Cost
0,55.172243,3445589
1,64.107432,3445589
2,72.603275,3455280
3,81.770421,3455280
4,89.565201,3455280
5,98.228279,3455280
6,107.850477,3455280
7,117.332892,3455280
8,125.447461,3457442
9,134.377501,3457442
10,142.765059,3458608
11,151.151757,3461168
12,159.470549,3461168
13,168.378941,3461927
14,176.803058,3461927
15,185.411194,3461927
16,194.291065,3464699
17,203.057832,3464699
18,211.710013,3464699
19,220.134496,3464699
20,228.502030,3465490
21,237.475538,3467552
22,246.079535,3467552
23,254.262510,3467552
24,263.035441,3467552
25,271.532609,3467552
26,279.882879,3467552
27,288.282782,3467552
28,297.506202,3467552
29,305.326661,3467552
30,313.767129,3467552
31,322.090541,3467552
32,331.326873,3467552
33,340.223460,3467552
34,348.167438,3467552
35,355.977103,3467552
36,364.514832,3467552
37,373.012669,3467552
38,381.002815,3467552
39,389.023917,3467552
40,397.373675,3467552
41,405.392934,3467552
42,413.470644,3467552
43,421.586410,3467552
44,430.002283,3468934
45,439.008289,3468934
46,446.873061,3468934
47,455.601022,3468934
48,463.739663,3468934
49,472.507769,3468934
50,481.061033,3471286
51,489.304871,3471286
52,498.030778,3471286
53,506.450553,3471286
54,514.975320,3471286
55,523.589546,3472245
56,531.976747,3472245
57,541.237396,3472245
58,549.648348,3472245
59,558.101186,3472245
60,566.867992,3472245
61,575.493094,3472245
62,583.867807,3472245
63,592.127345,3472245
64,600.143249,3472245
65,608.355989,3472245
66,616.880763,3472245
67,626.186980,3472245
68,634.533540,3472245
69,642.688646,3472245
70,650.600203,3472245
71,658.566204,3472245
72,666.888032,3472245
73,675.532646,3472245
74,684.140610,3472245
75,692.386787,3472245
76,700.256367,3472245
77,708.979132,3472245
78,717.400696,3472245
79,725.894902,3472245
80,735.590942,3472245
81,743.672851,3472245
82,751.733405,3472245
83,760.165566,3472245
84,768.224860,3472245
85,776.191031,3472245
86,783.968150,3472245
87,791.468347,3472245
88,800.665531,3472245
89,808.779109,3472245
90,816.355467,3472245
91,824.659606,3472245
92,833.165367,3472245
93,842.632396,3472245
94,850.878363,3472245
95,859.481804,3472245
96,868.215997,3472245
97,876.800387,3472245
98,885.149276,3472245
99,894.213019,3472245
100,903.224423,3472245
101,911.096650,3472245
102,919.050912,3472245
103,926.863658,3472245
104,935.426136,3472245
105,943.296313,3472245
106,951.874269,3472245
107,960.224947,3472245
108,968.394918,3472245
109,976.988653,3472245
110,986.252663,3472245
111,994.305756,3472245
112,1002.690845,3472245
