"algorithm","size","average_relative_deviation","sd_relative_deviation","average_time","sd_time"
"Best exchange random",150,3.71387108515836,0.687412226918311,0.755803333333333,0.160878078842551
"Best exchange random",250,3.54343811211285,0.462414699167713,6.51718905128205,1.25619070722782
"Best exchange CW",150,3.55501435527758,0.647419616971118,0.694636512820513,0.134070730217471
"Best exchange CW",250,3.32818004466466,0.361653982689183,6.39159082051282,1.30567348226388
"Best insert random",150,2.09057735351754,0.543209979137158,1.58662530769231,0.376389758942506
"Best insert random",250,2.22794974178459,0.333826773159256,15.2277525384615,2.80722076062316
"Best insert CW",150,1.98906946665642,0.475602974254285,1.42062305128205,0.234123629518337
"Best insert CW",250,1.93690020158525,0.412744721025175,15.1056682307692,2.8477738233217
"Best transpose random",150,35.992050033772,3.25978344771361,0.00776735897435897,0.00208378489756626
"Best transpose random",250,33.2196330861268,3.82939913522423,0.0349086153846154,0.00972134089087504
"Best transpose CW",150,20.0203944572352,2.05704967837512,0.00623092307692308,0.00198089505799001
"Best transpose CW",250,18.6675425744629,1.4296934585138,0.0358063076923077,0.0089622961260049
